
합계,채팅,웹검색,이미지 생성,비디오 생성,Korea-in-Data,Univ-in-Data,Law in Data,음성 에이전트,PPT 생성,오디오,딥 리서치,에이전트
4436607.697,4065651.676,11961.0,86521.256,64308.814,4039.188,0.0,7163.305,0.0,136051.531,2345.24,13074.52,45491.167

모델,입력 크레딧,출력 크레딧,웹 검색 크레딧,입력 토큰,출력 토큰,웹 검색 횟수
Llama 4 Maverick,1.083,0.517,0.0,7219,862,0
Gemini 2.5 Pro,7992.435,1758.16,0.0,6395852,178983,0
Gemini 2.5 Flash,281.405,208.372,40.0,864739,50340,8
Sonar Pro,10102.626,6255.105,3430.0,3367542,417007,245
Sonar Reasoning Pro,2569.16,1406.64,1176.0,1286927,176261,84
Grok 4,302.838,321.54,35.0,103037,21732,7
Solar Pro 2,1.649,0.183,0.0,10991,1217,0
GPT-5 Chat,15.872,11.57,5.0,12698,1157,1
GPT-5 mini,463.46,717.428,0.0,1853840,358714,0
GPT-5 Thinking,12022.543,3195.19,55.0,10142079,319519,11
Claude 4.5 Sonnet,60659.815,28550.22,20.0,25248289,1907567,4
Claude 4.5 Haiku,16841.293,6407.495,65.0,23795000,1300394,13
GPT-5.1,2625.113,2002.56,25.0,2164449,200256,5
GPT-5.1 Chat,21862.993,3714.69,170.0,19136718,371469,34
Claude 4.5 Opus,137965.744,38303.1,225.0,34247776,1532124,45
GPT-5.2,25024.209,4081.91,55.0,31014876,291565,11
Gemini 3 Flash,3903.535,1278.503,75.0,8104653,313302,15
GPT-5.2 Chat,14153.4,2027.676,45.0,8280617,144834,9
Grok 4.1 Fast,2916.97,907.859,40.0,23303543,1815718,8
ChatGPT-Auto,0.0,0.0,0.0,0,0,0
K-EXAONE,1.907,0.876,0.0,9535,1095,0
Claude 4.6 Opus,330753.305,73322.325,115.0,78368812,2980488,26
Claude 4.6 Sonnet,814537.537,248414.79,1080.0,324064177,16686917,221
Gemini 3.1 Pro,485452.34,224178.744,1460.0,293124866,18700740,296
Solar Pro 3,8.692,37.276,0.0,57950,62126,0
GPT-5.1 Codex Max,371.645,114.32,0.0,304382,11432,0
GPT-5.2 Codex,95.681,45.444,0.0,54675,3246,0
GPT-5.3 Chat,322736.823,70287.154,2340.0,211833230,5022347,469
Gemini 3.1 Flash Lite,2984.221,820.422,105.0,12126785,546948,21
GPT-5.3 Codex,8963.806,5510.162,0.0,5453413,393583,0
GPT-5.4,123412.228,69321.315,515.0,59745947,4621421,105
GPT-5.4 Pro,167.73,799.56,0.0,5591,4442,0
GPT-5.4 mini,5727.465,1498.234,20.0,8687897,332941,4
GPT-5.4 nano,181.473,57.628,0.0,976331,46102,0
Claude 4.7 Opus,479013.157,180464.0,530.0,109957404,7227547,110
Gemma 4,3.166,1.121,0.0,24356,2951,0
GPT-5.5,94552.595,55004.16,210.0,20775223,1833472,43
Super Agent,0.0,0.0,0.0,39034799,775836,162
Gemini 3.5 Flash,4048.401,2530.899,100.0,3095938,281211,20
Claude 4.8 Opus,30867.237,8508.975,25.0,6964800,340359,6

이미지 모델,생성 횟수,사용된 크레딧
GPT Image 1,1,0.56
Nano Banana,2,87.57
Nano Banana Pro,57,8854.452
GPT Image 1.5,34,1478.02
FLUX 2 [pro],21,1244.455
Grok Imagine,4,85.22
Seedream 4.5,1,40.0
Nano Banana 2,1005,73562.493
GPT Image 2,19,1168.486

비디오 모델,생성 횟수,사용된 크레딧
Sora 2,3,2400.0
Veo 3.1,2,9411.555
Kling v2.5 Turbo Pro,14,5277.195
Veo 3.1 Fast,16,14965.377
Kling 3.0,0,3609.372
Grok Imagine Video,27,14135.0
Veo 3.1 Lite,48,14510.315

Korea-in-Data,사용된 크레딧
Korea-in-Data,4039.188

Law in Data,사용된 크레딧
Law in Data,7163.305

PPT 생성,사용된 크레딧
PPT 생성,136051.531

오디오,사용된 크레딧
오디오,2345.24

딥 리서치,사용된 크레딧
딥 리서치,13074.52

에이전트,사용된 크레딧
에이전트,45491.167
